Name,Calls,Self CUDA total (us),Avg time (us),% Total,Input Shapes
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d<ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 256, 128, 128, 128, 16, 16, 32, 32, 2, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 8, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, signed char, signed char, signed char, signed char, false, false, false>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)10>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 256, 128, 128, 128, 16, 16, 32, 32, 2, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 8, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, signed char, signed char, signed char, signed char, false, false, false>::Argument) [clone .kd]",136464,38618682.09,283.00,60.09,"[64,5120]x[248320,5120]x[64,1]x[248320,1]x[64,248320]"
kernel_paged_attention_2d.kd,9088,10142225.45,1116.00,15.78,
fused_recurrent_gated_delta_rule_packed_decode_kernel.kd,27264,9134330.54,335.03,14.21,
"void vllm::dynamic_scaled_int8_quant_kernel<c10::BFloat16, float>(c10::BFloat16 const*, signed char*, float*, int) [clone .kd]",145976,996690.60,6.83,1.55,"[64,5120]x[64,5120]x[64,1]; [62,5120]x[62,5120]x[62,1]; [60,5120]x[60,5120]x[60,1]; [59,5120]x[59,5120]x[59,1]; [57,5120]x[57,5120]x[57,1]; [56,5120]x[56,5120]x[56,1]; [54,5120]x[54,5120]x[54,1]; [53,5120]x[53,5120]x[53,1]; [51,5120]x[51,5120]x[51,1]; [50,5120]x[50,5120]x[50,1]"
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d<ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 64, 16, 16, 256, 16, 16, 16, 16, 1, 1, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>, true, (ck::InMemoryDataOperationEnum)0, 1, (ck::TailNumber)10>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 64, 16, 16, 256, 16, 16, 16, 16, 1, 1, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>::Argument) [clone .kd]",5415,738518.93,136.38,1.15,"[62,5120]x[248320,5120]x[62,1]x[248320,1]x[62,248320]; [60,5120]x[248320,5120]x[60,1]x[248320,1]x[60,248320]; [59,5120]x[248320,5120]x[59,1]x[248320,1]x[59,248320]; [57,5120]x[248320,5120]x[57,1]x[248320,1]x[57,248320]; [56,5120]x[248320,5120]x[56,1]x[248320,1]x[56,248320]; [54,5120]x[248320,5120]x[54,1]x[248320,1]x[54,248320]; [53,5120]x[248320,5120]x[53,1]x[248320,1]x[53,248320]; [51,5120]x[248320,5120]x[51,1]x[248320,1]x[51,248320]; [50,5120]x[248320,5120]x[50,1]x[248320,1]x[50,248320]; [47,5120]x[248320,5120]x[47,1]x[248320,1]x[47,248320]"
_causal_conv1d_update_kernel.kd,27264,548182.44,20.11,0.85,
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d<ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)0, 64, 16, 16, 256, 16, 16, 16, 16, 1, 1, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>, true, (ck::InMemoryDataOperationEnum)0, 1, (ck::TailNumber)10>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)0, 64, 16, 16, 256, 16, 16, 16, 16, 1, 1, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>::Argument) [clone .kd]",4098,474069.11,115.68,0.74,"[48,5120]x[248320,5120]x[48,1]x[248320,1]x[48,248320]; [32,5120]x[248320,5120]x[32,1]x[248320,1]x[32,248320]"
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x64x64_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA4_GRVWB4_GSUAMB_GLS0_ISA90a_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS2_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO1_SRVW0_SSO0_SVW1_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA1_WSGRB1_WS64_WG16_16_1.kd,26640,450906.33,16.93,0.70,
triton_poi_fused_dynamic_scaled_int8_quant_mul_silu_slice_3.kd,27264,362748.52,13.31,0.56,
triton_red_fused__to_copy_add_dynamic_scaled_int8_quant_fused_add_rms_norm_2.kd,27264,224004.25,8.22,0.35,
