Name,Calls,Self CUDA total (us),Avg time (us),% Total,Input Shapes
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d<ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 256, 128, 128, 128, 16, 16, 32, 32, 2, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 8, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, signed char, signed char, signed char, signed char, false, false, false>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)10>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 256, 128, 128, 128, 16, 16, 32, 32, 2, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 8, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, signed char, signed char, signed char, signed char, false, false, false>::Argument) [clone .kd]",253912,72300625.66,284.75,47.86,"[784,5120]x[16384,5120]x[784,1]x[16384,1]x[784,16384]; [784,6144]x[5120,6144]x[784,1]x[5120,1]x[784,5120]; [784,5120]x[34816,5120]x[784,1]x[34816,1]x[784,34816]; [784,17408]x[5120,17408]x[784,1]x[5120,1]x[784,5120]; [784,5120]x[14336,5120]x[784,1]x[14336,1]x[784,14336]; [64,5120]x[248320,5120]x[64,1]x[248320,1]x[64,248320]; [542,5120]x[16384,5120]x[542,1]x[16384,1]x[542,16384]; [542,6144]x[5120,6144]x[542,1]x[5120,1]x[542,5120]; [542,5120]x[34816,5120]x[542,1]x[34816,1]x[542,34816]; [542,17408]x[5120,17408]x[542,1]x[5120,1]x[542,5120]"
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d<ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 256, 256, 128, 64, 16, 16, 32, 32, 4, 2, ck::Sequence<4, 64, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<4, 64, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 8, 1>, (ck::BlockGemmPipelineScheduler)1, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)10>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 256, 256, 128, 64, 16, 16, 32, 32, 4, 2, ck::Sequence<4, 64, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<4, 64, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 8, 1>, (ck::BlockGemmPipelineScheduler)1, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>::Argument) [clone .kd]",10240,26244748.44,2562.96,17.37,"[1266,5120]x[16384,5120]x[1266,1]x[16384,1]x[1266,16384]; [1266,6144]x[5120,6144]x[1266,1]x[5120,1]x[1266,5120]; [1266,5120]x[34816,5120]x[1266,1]x[34816,1]x[1266,34816]; [1266,17408]x[5120,17408]x[1266,1]x[5120,1]x[1266,5120]; [1266,5120]x[14336,5120]x[1266,1]x[14336,1]x[1266,14336]; [1812,5120]x[16384,5120]x[1812,1]x[16384,1]x[1812,16384]; [1812,6144]x[5120,6144]x[1812,1]x[5120,1]x[1812,5120]; [1812,5120]x[34816,5120]x[1812,1]x[34816,1]x[1812,34816]; [1812,17408]x[5120,17408]x[1812,1]x[5120,1]x[1812,5120]; [1812,5120]x[14336,5120]x[1812,1]x[14336,1]x[1812,14336]"
fused_recurrent_gated_delta_rule_packed_decode_kernel.kd,49104,16731525.92,340.74,11.08,
kernel_paged_attention_2d.kd,17056,16597149.69,973.10,10.99,"[784,24,256]x[784,4,256]x[784,4,256]x[784,24,256]x[0]; [2048,24,256]x[2048,4,256]x[2048,4,256]x[2048,24,256]x[0]; [1266,24,256]x[1266,4,256]x[1266,4,256]x[1266,24,256]x[0]; [1812,24,256]x[1812,4,256]x[1812,4,256]x[1812,24,256]x[0]; [1269,24,256]x[1269,4,256]x[1269,4,256]x[1269,24,256]x[0]; [1815,24,256]x[1815,4,256]x[1815,4,256]x[1815,24,256]x[0]; [1272,24,256]x[1272,4,256]x[1272,4,256]x[1272,24,256]x[0]; [1818,24,256]x[1818,4,256]x[1818,4,256]x[1818,24,256]x[0]; [1275,24,256]x[1275,4,256]x[1275,4,256]x[1275,24,256]x[0]; [1821,24,256]x[1821,4,256]x[1821,4,256]x[1821,24,256]x[0]"
_fwd_kernel.kd,688,2846027.16,4136.67,1.88,"[784,24,256]x[784,4,256]x[784,4,256]x[784,24,256]x[0]; [2048,24,256]x[2048,4,256]x[2048,4,256]x[2048,24,256]x[0]; [1266,24,256]x[1266,4,256]x[1266,4,256]x[1266,24,256]x[0]; [1812,24,256]x[1812,4,256]x[1812,4,256]x[1812,24,256]x[0]; [1269,24,256]x[1269,4,256]x[1269,4,256]x[1269,24,256]x[0]; [1815,24,256]x[1815,4,256]x[1815,4,256]x[1815,24,256]x[0]; [1272,24,256]x[1272,4,256]x[1272,4,256]x[1272,24,256]x[0]; [1818,24,256]x[1818,4,256]x[1818,4,256]x[1818,24,256]x[0]; [1275,24,256]x[1275,4,256]x[1275,4,256]x[1275,24,256]x[0]; [1821,24,256]x[1821,4,256]x[1821,4,256]x[1821,24,256]x[0]"
"void vllm::dynamic_scaled_int8_quant_kernel<c10::BFloat16, float>(c10::BFloat16 const*, signed char*, float*, int) [clone .kd]",273962,2429336.85,8.87,1.61,"[784,5120]x[784,5120]x[784,1]; [784,6144]x[784,6144]x[784,1]; [784,17408]x[784,17408]x[784,1]; [1,5120]x[1,5120]x[1,1]; [2048,5120]x[2048,5120]x[2048,1]; [2048,6144]x[2048,6144]x[2048,1]; [2048,17408]x[2048,17408]x[2048,1]; [4,5120]x[4,5120]x[4,1]; [1266,5120]x[1266,5120]x[1266,1]; [1266,6144]x[1266,6144]x[1266,1]"
_causal_conv1d_update_kernel.kd,49104,1028295.96,20.94,0.68,
triton_poi_fused_dynamic_scaled_int8_quant_mul_silu_slice_3.kd,51168,963903.07,18.84,0.64,"[784,34816]x[784,17408]; [2048,34816]x[2048,17408]; [1266,34816]x[1266,17408]; [1812,34816]x[1812,17408]; [1269,34816]x[1269,17408]; [1815,34816]x[1815,17408]; [1272,34816]x[1272,17408]; [1818,34816]x[1818,17408]; [1275,34816]x[1275,17408]; [1821,34816]x[1821,17408]"
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x64x64_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA4_GRVWB4_GSUAMB_GLS0_ISA90a_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS2_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO1_SRVW0_SSO0_SVW1_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA1_WSGRB1_WS64_WG16_16_1.kd,48480,821970.54,16.95,0.54,
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d<ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 64, 16, 16, 256, 16, 16, 16, 16, 1, 1, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>, true, (ck::InMemoryDataOperationEnum)0, 1, (ck::TailNumber)10>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)7, 64, 16, 16, 256, 16, 16, 16, 16, 1, 1, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>::Argument) [clone .kd]",5454,800039.40,146.69,0.53,"[1,5120]x[248320,5120]x[1,1]x[248320,1]x[1,248320]; [4,5120]x[248320,5120]x[4,1]x[248320,1]x[4,248320]; [5,5120]x[248320,5120]x[5,1]x[248320,1]x[5,248320]; [7,5120]x[248320,5120]x[7,1]x[248320,1]x[7,248320]; [8,5120]x[248320,5120]x[8,1]x[248320,1]x[8,248320]; [10,5120]x[248320,5120]x[10,1]x[248320,1]x[10,248320]; [11,5120]x[248320,5120]x[11,1]x[248320,1]x[11,248320]; [13,5120]x[248320,5120]x[13,1]x[248320,1]x[13,248320]; [14,5120]x[248320,5120]x[14,1]x[248320,1]x[14,248320]; [17,5120]x[248320,5120]x[17,1]x[248320,1]x[17,248320]"
