M,N,K,q_dtype_w
1,5120,6144,torch.int8
1,14336,5120,torch.int8
1,16384,5120,torch.int8
1,34816,5120,torch.int8
1,5120,17408,torch.int8
1,248320,5120,torch.int8
16,5120,6144,torch.int8
16,14336,5120,torch.int8
16,16384,5120,torch.int8
16,34816,5120,torch.int8
16,5120,17408,torch.int8
16,248320,5120,torch.int8
32,5120,6144,torch.int8
32,14336,5120,torch.int8
32,16384,5120,torch.int8
32,34816,5120,torch.int8
32,5120,17408,torch.int8
32,248320,5120,torch.int8
64,5120,6144,torch.int8
64,14336,5120,torch.int8
64,16384,5120,torch.int8
64,34816,5120,torch.int8
64,5120,17408,torch.int8
64,248320,5120,torch.int8
128,5120,6144,torch.int8
128,14336,5120,torch.int8
128,16384,5120,torch.int8
128,34816,5120,torch.int8
128,5120,17408,torch.int8
128,248320,5120,torch.int8
256,5120,6144,torch.int8
256,16384,5120,torch.int8
256,34816,5120,torch.int8
512,5120,6144,torch.int8
512,16384,5120,torch.int8
512,34816,5120,torch.int8
2048,5120,6144,torch.int8
2048,16384,5120,torch.int8
2048,34816,5120,torch.int8
2048,5120,17408,torch.int8
